ones,0,1,2,3,4,5,6,7,8
0,0.657142857,0.428571429,0.514285714,0.428571429,0.314285714,0.628571429,0.771428571,0.628571429,0.828571429
1,0.2,0.542857143,0.485714286,0.371428571,0,0.428571429,0.428571429,0.428571429,0.657142857
2,0.142857143,0.628571429,0.314285714,0.228571429,0.314285714,0.571428571,0.4,0.457142857,0.657142857
3,0.314285714,0.171428571,0.285714286,0.2,0.6,0.428571429,0.457142857,0.771428571,0.828571429
4,0.657142857,0.342857143,0.4,0.285714286,0.628571429,0.428571429,0.428571429,0.228571429,0.571428571
5,0.314285714,0.542857143,0.657142857,0.342857143,0.314285714,0.742857143,0.657142857,1,0.771428571
6,0.371428571,0.342857143,0.514285714,0.2,0.457142857,0.4,0.342857143,0.514285714,0.228571429
7,0.285714286,0.6,0.628571429,0.428571429,0.257142857,0.571428571,0.771428571,0.257142857,0.571428571
8,0.6,1,0.342857143,0.4,0.371428571,0.228571429,0.485714286,0.628571429,0.828571429
9,0.171428571,0.457142857,0.342857143,0.571428571,0.342857143,0.457142857,0.571428571,0.485714286,0.857142857
